CNAE,TOTAL
"9529103","405"
"9529104","830"
"9529105","2258"
"9529106","779"
"9529199","1057"
"9601701","1180"
"9601702","40"
"9601703","200"
"9602501","130660"
"9602502","38862"
"9603304","271"
"9609202","344"
"9609206","4232"
"9609207","909"
"9609208","6425"
"9609299","3595"
"9700500","29216"
