CNAE,TOTAL
"5590603","5947"
"5590699","21952"
"5611201","286992"
"5611203","378350"
"5611204","166003"
"5611205","71112"
"5612100","250648"
"5620101","32902"
"5620102","50490"
"5620103","9766"
"5620104","425344"
"5811500","20076"
"5812300","277"
"5812301","19252"
"5812302","14129"
"5813100","16573"
"5819100","88777"
"5822101","1"
"5829800","2"
"5911101","4"
"5911102","1"
"5911199","7"
"5912001","1744"
"5912002","1"
"5912099","75326"
"5913800","1"
"5920100","1"
"6010100","1"
"6190601","1"
"6190699","28343"
"6201501","6"
"6201502","2"
"6204000","6"
"6209100","3"
"6311900","2"
"6319400","9"
"6391700","1"
"6399200","8638"
"6619302","3"
"6619399","2"
"6622300","4"
"6810201","1"
"6821801","9"
"6822600","3"
"6911702","1"
"6920601","28"
"6920602","1"
"7020400","14"
"7111100","4"
"7112000","12"
"7119701","1"
"7119703","1"
"7120100","1"
"7210000","1"
"7311400","10"
"7319002","657537"
"7319003","20"
"7319004","2"
"7319099","15827"
"7410202","14"
"7410299","3"
"7420001","89791"
"7420002","3254"
"7420003","1290"
"7420004","16703"
"7490101","1"
"7490102","876"
"7490103","1"
"7490104","7"
"7490199","7"
"7500100","3"
"7711000","3"
"7719599","2117"
"7721700","14437"
"7722500","1432"
"7723300","5159"
"7729201","1731"
"7729202","19029"
"7729203","518"
"7729299","299"
"7731400","3912"
"7732201","8658"
"7732202","1664"
"7733100","1531"
"7739002","1299"
"7739003","4044"
"7739099","7391"
"7740300","1"
"7911200","52614"
"7912100","11726"
"7990200","7826"
"8011101","3"
"8011102","1906"
"8020001","2"
"8020002","6814"
"8111700","2"
"8121400","3"
"8122200","1"
"8129000","21927"
"8130300","81791"
"8211300","54"
"8219901","10478"
"8219999","359879"
"8230001","195114"
"8230002","22671"
"8291100","37584"
"8292000","3948"
"8299701","1"
"8299703","473"
"8299707","11109"
"8299799","14186"
"8511200","2"
"8512100","1"
"8513900","2"
"8532500","1"
"8541400","1"
"8550302","2"
"8591100","7"
"8592901","4"
"8592902","5212"
"8592903","18638"
"8592999","61455"
"8593700","20593"
"8599603","39996"
"8599604","173098"
"8599605","25347"
"8599699","261836"
"8610101","1"
"8630503","2"
"8630504","2"
"8640202","1"
"8650001","4"
"8650002","3"
"8650003","1"
"8650004","1"
"8650005","1"
"8650006","1"
"8650099","1"
"8660700","1"
"8690901","3"
"8690904","2"
"8690999","1"
"8712300","167503"
"9001901","12246"
"9001902","68646"
"9001903","2"
"9001906","26862"
"9001999","4"
"9002701","5"
"9002702","2226"
"9311500","2"
"9312300","2"
"9313100","16"
"9319101","2"
"9329801","1"
"9329803","857"
"9329804","1040"
"9329899","14897"
"9511800","145856"
"9512600","62964"
"9521500","36183"
"9529101","5246"
"9529102","19196"
"9529103","2914"
"9529104","8622"
"9529105","22054"
"9529106","4913"
"9529199","11893"
"9601701","13632"
"9601702","281"
"9601703","2026"
"9602501","1030033"
"9602502","332116"
"9603304","2495"
"9609202","1960"
"9609206","36434"
"9609207","7911"
"9609208","51912"
"9609299","34337"
"9700500","276984"
